type;question;right_answer;wrong_answer1;wrong_answer2;
история;Сколько лет назад зародилось виноделие?;7000;5000;10000;
история;Иногда алкогольная промышленность может не только развлекать. Как вы думаете, сколько тысяч коктейлей Молотова было произведено в Великом Новгороде до его бомбёжки?;70;50;30;
места;С какого года начинается история производства алкогольных напитков Великого Новгорода?;1897;1920;1930;
места;На берегу реки Волхов стоит фрегат, являющийся исторической реконструкцией трехпалубного торгового судна «Святой Апостол Павел».
Внутри него разместился ресторанный комплекс. А сколько всего таких комплексов было спущено на воду?;3;4;2;
коктейли;Что-нибудь простое? Знаете название коктейля из водки с томатным соком?;кровавая мэри;белая леди;красный русский;
коктейли;Как насчёт поп-культуры? Помните, как назывался коктейль Джеймса Бонда?;веспер;казино;александр;
коктейли;Слишком просто? Тогда что насчёт любимого коктейля Джеффри Лебовски? Подсказка: это коктейль из водки, кофейного ликёра и сливок.;белый русский;кофе по-ирландски;чёрный русский;
коктейли;Жаркий летний день на пляже может спасти именно этот лонг дринк из белого рома, ананасого сока и кокосового молока.;пина колада;мохито;секс на пляже;
сервировка;Какой особый столовый прибор использовала буржуазия для разлития абсента?;ложка;вилка;нож;
сервировка;Как называется особый графин для подачи вина?;декантер;акратофора;грюнендаль;
сервировка;Какой напиток используется для создания кальвадоса?;сидр;вино;кирш;
сервировка;Несмотря на то, что горький егерьмейстер, сладкие «Ирландские сливки» и итальянский Апероль кажутся такими разными, на самом деле, все они являются разновидностями одного спиртного напитка. Какого же?;ликёр;бальзам;спотыкач;
сервировка;"Из-за использования дистилляции при производстве этот напиток зачастую называют ""Рисовой водкой"", что в корне неверно.  Что же это за напиток?";саке;дайкири;кампай;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
